date,cname,measure,count
2020-03-09,Iceland,Deaths,NA
2020-03-09,Norway,Cases,169
2020-03-09,Norway,Deaths,NA
2020-03-09,Sweden,Cases,203
2020-03-09,Sweden,Deaths,NA
2020-03-10,Denmark,Cases,113
2020-03-10,Denmark,Deaths,NA
2020-03-10,Finland,Cases,40
2020-03-10,Finland,Deaths,NA
2020-03-10,Iceland,Cases,65
2020-03-10,Iceland,Deaths,NA
2020-03-10,Norway,Cases,192
2020-03-10,Norway,Deaths,NA
2020-03-10,Sweden,Cases,248
2020-03-10,Sweden,Deaths,NA
2020-03-11,Denmark,Cases,264
2020-03-11,Denmark,Deaths,NA
2020-03-11,Iceland,Cases,70
2020-03-11,Iceland,Deaths,NA
2020-03-11,Norway,Cases,277
2020-03-11,Norway,Deaths,NA
2020-03-11,Sweden,Cases,326
2020-03-11,Sweden,Deaths,NA
2020-03-12,Denmark,Cases,516
2020-03-12,Denmark,Deaths,NA
2020-03-12,Finland,Cases,59
2020-03-12,Finland,Deaths,NA
2020-03-12,Iceland,Cases,85
2020-03-12,Iceland,Deaths,NA
2020-03-12,Norway,Cases,489
2020-03-12,Norway,Deaths,NA
2020-03-12,Sweden,Cases,462
2020-03-12,Sweden,Deaths,1
2020-03-13,Denmark,Cases,676
2020-03-13,Denmark,Deaths,NA
2020-03-13,Finland,Cases,155
2020-03-13,Finland,Deaths,NA
2020-03-13,Iceland,Cases,117
2020-03-13,Iceland,Deaths,NA
2020-03-13,Norway,Cases,621
2020-03-13,Norway,Deaths,1
2020-03-13,Sweden,Cases,620
2020-03-13,Sweden,Deaths,1
2020-03-14,Denmark,Cases,804
2020-03-14,Denmark,Deaths,NA
2020-03-14,Iceland,Cases,117
