records.dateRep,records.day,records.month,records.year,records.cases,records.deaths,records.countriesAndTerritories,records.geoId,records.countryterritoryCode,records.popData2018,date,iso2,iso3,cname
09/01/2020,9,1,2020,0,0,Algeria,DZ,DZA,42228429,2020-01-09,DZ,DZA,Algeria
08/01/2020,8,1,2020,0,0,Algeria,DZ,DZA,42228429,2020-01-08,DZ,DZA,Algeria
07/01/2020,7,1,2020,0,0,Algeria,DZ,DZA,42228429,2020-01-07,DZ,DZA,Algeria
06/01/2020,6,1,2020,0,0,Algeria,DZ,DZA,42228429,2020-01-06,DZ,DZA,Algeria
05/01/2020,5,1,2020,0,0,Algeria,DZ,DZA,42228429,2020-01-05,DZ,DZA,Algeria
04/01/2020,4,1,2020,0,0,Algeria,DZ,DZA,42228429,2020-01-04,DZ,DZA,Algeria
03/01/2020,3,1,2020,0,0,Algeria,DZ,DZA,42228429,2020-01-03,DZ,DZA,Algeria
02/01/2020,2,1,2020,0,0,Algeria,DZ,DZA,42228429,2020-01-02,DZ,DZA,Algeria
01/01/2020,1,1,2020,0,0,Algeria,DZ,DZA,42228429,2020-01-01,DZ,DZA,Algeria
31/12/2019,31,12,2019,0,0,Algeria,DZ,DZA,42228429,2019-12-31,DZ,DZA,Algeria
13/04/2020,13,4,2020,16,1,Andorra,AD,AND,77006,2020-04-13,AD,AND,Andorra
12/04/2020,12,4,2020,21,2,Andorra,AD,AND,77006,2020-04-12,AD,AND,Andorra
11/04/2020,11,4,2020,18,1,Andorra,AD,AND,77006,2020-04-11,AD,AND,Andorra
10/04/2020,10,4,2020,19,2,Andorra,AD,AND,77006,2020-04-10,AD,AND,Andorra
09/04/2020,9,4,2020,19,1,Andorra,AD,AND,77006,2020-04-09,AD,AND,Andorra
08/04/2020,8,4,2020,19,1,Andorra,AD,AND,77006,2020-04-08,AD,AND,Andorra
07/04/2020,7,4,2020,25,3,Andorra,AD,AND,77006,2020-04-07,AD,AND,Andorra
06/04/2020,6,4,2020,35,1,Andorra,AD,AND,77006,2020-04-06,AD,AND,Andorra
05/04/2020,5,4,2020,27,1,Andorra,AD,AND,77006,2020-04-05,AD,AND,Andorra
04/04/2020,4,4,2020,11,1,Andorra,AD,AND,77006,2020-04-04,AD,AND,Andorra
03/04/2020,3,4,2020,38,1,Andorra,AD,AND,77006,2020-04-03,AD,AND,Andorra
02/04/2020,2,4,2020,14,2,Andorra,AD,AND,77006,2020-04-02,AD,AND,Andorra
01/04/2020,1,4,2020,6,4,Andorra,AD,AND,77006,2020-04-01,AD,AND,Andorra
